OEM,PSM,RGB,GRAY,BLUR,THRES,RESC,INV,DIRECTORY,FILE,BLOCKS,CONF,RUNTIME
1,1,False,True,True,False,False,False,test_images,DSC_0041.JPG,4,63.3,7.0
1,1,False,True,True,False,False,False,test_images,DSC_0049.JPG,0,nan,6.0
1,1,False,True,True,False,False,False,test_images,DSC_0056.JPG,8,45.7,8.0
1,1,False,True,True,False,False,False,test_images,DSC_0061.JPG,5,61.4,10.0
1,1,False,True,True,False,False,False,test_images,DSC_0068.JPG,6,83.6,7.0
1,1,False,True,True,False,False,False,test_images,IMG_2438.jpg,18,63.1,5.0
1,1,True,True,True,False,False,False,test_images,DSC_0017.JPG,6,37.6,8.0
1,1,True,True,True,False,False,False,test_images,DSC_0018.JPG,12,47.8,9.0
1,1,True,True,True,False,False,False,test_images,DSC_0026.JPG,6,62.1,7.0
1,1,True,True,True,False,False,False,test_images,DSC_0040.JPG,11,69.5,7.0
1,1,True,True,True,False,False,False,test_images,DSC_0041.JPG,7,73.4,7.0
1,1,True,True,True,False,False,False,test_images,DSC_0049.JPG,0,nan,6.0
1,1,True,True,True,False,False,False,test_images,DSC_0056.JPG,11,52.6,8.0
1,1,True,True,True,False,False,False,test_images,DSC_0061.JPG,11,49.4,10.0
1,1,True,True,True,False,False,False,test_images,DSC_0068.JPG,6,63.2,6.0
1,1,True,True,True,False,False,False,test_images,IMG_2438.jpg,15,62.9,5.0
1,1,False,False,False,True,False,False,test_images,DSC_0017.JPG,,,
1,1,False,False,False,True,False,False,test_images,DSC_0018.JPG,,,
1,1,False,False,False,True,False,False,test_images,DSC_0026.JPG,,,
1,1,False,False,False,True,False,False,test_images,DSC_0040.JPG,,,
1,1,False,False,False,True,False,False,test_images,DSC_0041.JPG,,,
1,1,False,False,False,True,False,False,test_images,DSC_0049.JPG,,,
1,1,False,False,False,True,False,False,test_images,DSC_0056.JPG,,,
1,1,False,False,False,True,False,False,test_images,DSC_0061.JPG,,,
1,1,False,False,False,True,False,False,test_images,DSC_0068.JPG,,,
1,1,False,False,False,True,False,False,test_images,IMG_2438.jpg,,,
1,1,True,False,False,True,False,False,test_images,DSC_0017.JPG,,,
1,1,True,False,False,True,False,False,test_images,DSC_0018.JPG,,,
1,1,True,False,False,True,False,False,test_images,DSC_0026.JPG,,,
1,1,True,False,False,True,False,False,test_images,DSC_0040.JPG,,,
1,1,True,False,False,True,False,False,test_images,DSC_0041.JPG,,,
1,1,True,False,False,True,False,False,test_images,DSC_0049.JPG,,,
1,1,True,False,False,True,False,False,test_images,DSC_0056.JPG,,,
1,1,True,False,False,True,False,False,test_images,DSC_0061.JPG,,,
1,1,True,False,False,True,False,False,test_images,DSC_0068.JPG,,,
1,1,True,False,False,True,False,False,test_images,IMG_2438.jpg,,,
1,1,False,True,False,True,False,False,test_images,DSC_0017.JPG,8,58.1,3.0
1,1,False,True,False,True,False,False,test_images,DSC_0018.JPG,22,52.3,4.0
1,1,False,True,False,True,False,False,test_images,DSC_0026.JPG,12,45.2,4.0
1,1,False,True,False,True,False,False,test_images,DSC_0040.JPG,15,60.9,3.0
1,1,False,True,False,True,False,False,test_images,DSC_0041.JPG,4,39.1,4.0
1,1,False,True,False,True,False,False,test_images,DSC_0049.JPG,0,nan,3.0
1,1,False,True,False,True,False,False,test_images,DSC_0056.JPG,15,46.0,4.0
1,1,False,True,False,True,False,False,test_images,DSC_0061.JPG,4,51.7,6.0
1,1,False,True,False,True,False,False,test_images,DSC_0068.JPG,6,86.1,3.0
1,1,False,True,False,True,False,False,test_images,IMG_2438.jpg,13,74.4,3.0
1,1,True,True,False,True,False,False,test_images,DSC_0017.JPG,8,58.8,3.0
1,1,True,True,False,True,False,False,test_images,DSC_0018.JPG,16,63.4,3.0
1,1,True,True,False,True,False,False,test_images,DSC_0026.JPG,9,58.5,4.0
1,1,True,True,False,True,False,False,test_images,DSC_0040.JPG,10,69.3,3.0
1,1,True,True,False,True,False,False,test_images,DSC_0041.JPG,5,74.3,2.0
1,1,True,True,False,True,False,False,test_images,DSC_0049.JPG,0,nan,3.0
1,1,True,True,False,True,False,False,test_images,DSC_0056.JPG,5,44.1,3.0
1,1,True,True,False,True,False,False,test_images,DSC_0061.JPG,3,53.8,6.0
1,1,True,True,False,True,False,False,test_images,DSC_0068.JPG,2,89.7,3.0
1,1,True,True,False,True,False,False,test_images,IMG_2438.jpg,14,70.8,2.0
1,1,False,False,True,True,False,False,test_images,DSC_0017.JPG,,,
1,1,False,False,True,True,False,False,test_images,DSC_0018.JPG,,,
1,1,False,False,True,True,False,False,test_images,DSC_0026.JPG,,,
1,1,False,False,True,True,False,False,test_images,DSC_0040.JPG,,,
1,1,False,False,True,True,False,False,test_images,DSC_0041.JPG,,,
1,1,False,False,True,True,False,False,test_images,DSC_0049.JPG,,,
1,1,False,False,True,True,False,False,test_images,DSC_0056.JPG,,,
1,1,False,False,True,True,False,False,test_images,DSC_0061.JPG,,,
1,1,False,False,True,True,False,False,test_images,DSC_0068.JPG,,,
1,1,False,False,True,True,False,False,test_images,IMG_2438.jpg,,,
1,1,True,False,True,True,False,False,test_images,DSC_0017.JPG,,,
1,1,True,False,True,True,False,False,test_images,DSC_0018.JPG,,,
1,1,True,False,True,True,False,False,test_images,DSC_0026.JPG,,,
1,1,True,False,True,True,False,False,test_images,DSC_0040.JPG,,,
1,1,True,False,True,True,False,False,test_images,DSC_0041.JPG,,,
1,1,True,False,True,True,False,False,test_images,DSC_0049.JPG,,,
1,1,True,False,True,True,False,False,test_images,DSC_0056.JPG,,,
1,1,True,False,True,True,False,False,test_images,DSC_0061.JPG,,,
1,1,True,False,True,True,False,False,test_images,DSC_0068.JPG,,,
1,1,True,False,True,True,False,False,test_images,IMG_2438.jpg,,,
1,1,False,True,True,True,False,False,test_images,DSC_0017.JPG,6,57.7,2.0
1,1,False,True,True,True,False,False,test_images,DSC_0018.JPG,15,58.2,4.0
1,1,False,True,True,True,False,False,test_images,DSC_0026.JPG,11,47.7,3.0
1,1,False,True,True,True,False,False,test_images,DSC_0040.JPG,13,73.6,3.0
1,1,False,True,True,True,False,False,test_images,DSC_0041.JPG,4,61.9,2.0
1,1,False,True,True,True,False,False,test_images,DSC_0049.JPG,0,nan,2.0
1,1,False,True,True,True,False,False,test_images,DSC_0056.JPG,8,47.1,3.0
1,1,False,True,True,True,False,False,test_images,DSC_0061.JPG,5,63.3,5.0
1,1,False,True,True,True,False,False,test_images,DSC_0068.JPG,6,79.7,3.0
1,1,False,True,True,True,False,False,test_images,IMG_2438.jpg,18,56.6,2.0
1,1,True,True,True,True,False,False,test_images,DSC_0017.JPG,6,41.3,3.0
1,1,True,True,True,True,False,False,test_images,DSC_0018.JPG,13,49.3,5.0
1,1,True,True,True,True,False,False,test_images,DSC_0026.JPG,6,55.1,3.0
1,1,True,True,True,True,False,False,test_images,DSC_0040.JPG,11,67.2,3.0
1,1,True,True,True,True,False,False,test_images,DSC_0041.JPG,7,60.2,2.0
1,1,True,True,True,True,False,False,test_images,DSC_0049.JPG,0,nan,2.0
