KEY;OEM;PSM;RGB;GRAY;BLUR;THRES;RESC;INV;IMAGES;BLOCKS;CONF;RUNTIME;COMMENT
11FalseTrueTrueFalseFalseFalse;1;1;False;True;True;False;False;False;10;86;57.9;7.2;
11FalseTrueTrueFalseFalseTrue;1;1;False;True;True;False;False;True;10;86;57.9;7.3;
11FalseTrueTrueFalseTrueFalse;1;1;False;True;True;False;True;False;10;108;57.7;18.4;
11FalseTrueTrueFalseTrueTrue;1;1;False;True;True;False;True;True;10;108;57.4;18.4;
13FalseTrueTrueTrueFalseFalse;1;3;False;True;True;True;False;False;10;86;56.9;2.6;
11FalseTrueTrueTrueFalseFalse;1;1;False;True;True;True;False;False;10;86;56.9;2.9;
13FalseTrueTrueFalseTrueFalse;1;3;False;True;True;False;True;False;10;110;56.9;18.1;
113TrueTrueTrueFalseFalseTrue;1;13;True;True;True;False;False;True;10;10;56.6;13.4;
13FalseTrueTrueFalseTrueTrue;1;3;False;True;True;False;True;True;10;110;56.3;18.2;
113TrueTrueTrueTrueFalseTrue;1;13;True;True;True;True;False;True;10;10;56.2;2.1;
113TrueFalseTrueFalseFalseTrue;1;13;True;False;True;False;False;True;10;10;55.7;29.6;
113TrueTrueTrueFalseFalseFalse;1;13;True;True;True;False;False;False;10;10;55.5;13.5;
11FalseTrueFalseFalseTrueFalse;1;1;False;True;False;False;True;False;10;172;55.4;32.3;
13TrueTrueTrueFalseTrueFalse;1;3;True;True;True;False;True;False;10;115;54.5;17.9;
11TrueTrueTrueFalseTrueFalse;1;1;True;True;True;False;True;False;10;115;54.5;18.4;
113TrueFalseTrueFalseFalseFalse;1;13;True;False;True;False;False;False;10;10;54.5;29.6;
13TrueTrueTrueFalseTrueTrue;1;3;True;True;True;False;True;True;10;115;54.4;17.9;
11TrueTrueTrueFalseTrueTrue;1;1;True;True;True;False;True;True;10;115;54.4;18.5;
113TrueFalseFalseFalseFalseTrue;1;13;True;False;False;False;False;True;10;10;54.2;25.9;
11FalseTrueFalseFalseTrueTrue;1;1;False;True;False;False;True;True;10;172;54.2;31.9;
113TrueFalseFalseFalseFalseFalse;1;13;True;False;False;False;False;False;10;10;54.1;25.9;
13FalseTrueFalseFalseTrueFalse;1;3;False;True;False;False;True;False;10;160;54;31.4;
13TrueTrueFalseFalseTrueFalse;1;3;True;True;False;False;True;False;10;127;53.9;28.6;
11TrueTrueFalseFalseTrueFalse;1;1;True;True;False;False;True;False;10;127;53.9;29;
11FalseTrueFalseTrueTrueTrue;1;1;False;True;False;True;True;True;10;132;53.8;13.4;
13FalseTrueFalseTrueTrueTrue;1;3;False;True;False;True;True;True;10;141;53.7;10.7;
11FalseTrueFalseTrueTrueFalse;1;1;False;True;False;True;True;False;10;132;53.4;13.7;
13TrueTrueFalseFalseTrueTrue;1;3;True;True;False;False;True;True;10;127;53.3;28.7;
11TrueTrueFalseFalseTrueTrue;1;1;True;True;False;False;True;True;10;127;53.3;29.3;
13FalseTrueFalseTrueTrueFalse;1;3;False;True;False;True;True;False;10;141;53.2;10.6;
11TrueTrueTrueTrueTrueTrue;1;1;True;True;True;True;True;True;10;109;53.1;7;
13FalseTrueTrueTrueTrueTrue;1;3;False;True;True;True;True;True;10;105;53;6.9;
13TrueTrueTrueTrueFalseFalse;1;3;True;True;True;True;False;False;10;87;52.9;2.6;
11TrueTrueTrueTrueFalseFalse;1;1;True;True;True;True;False;False;10;87;52.9;3.1;
11TrueTrueTrueTrueTrueFalse;1;1;True;True;True;True;True;False;10;109;52.8;7;
13FalseTrueFalseFalseTrueTrue;1;3;False;True;False;False;True;True;10;160;52.8;31.8;
11FalseTrueTrueTrueTrueTrue;1;1;False;True;True;True;True;True;10;109;52.7;7.5;
